asteroid_diameter_km,asteroid_mass_kg,composition_type,metal_concentration_pct,water_ice_content_pct,delta_v_km_s,distance_au,orbital_period_years,spin_rate_hours,estimated_market_value_usd,extraction_tech_readiness,regulatory_risk_score,mining_viability,viability_score_composite,roi_estimate_log
2.57,12315552277078.0,C-type,4.44,22.69,6.28,1.34,1.52,18.6,3382276441.0,9,0.228,0,0.29611571428571426,1.6272585887399792e-06
2.66,13610853106582.0,C-type,5.86,35.04,6.5,1.47,1.7,14.85,6484993078.0,8,0.14,1,0.32459174603174606,3.64151979919949e-06
3.09,41967663581720.0,S-type,25.25,2.49,5.76,1.72,2.43,19.87,79709280794.0,9,0.157,1,0.3261842857142857,0.00022300159897745218
5.85,144710543231061.0,C-type,4.47,15.4,5.93,2.14,3.12,11.21,31473316534.0,4,0.319,0,0.22381015873015875,1.2741138339863239e-05
2.52,11606425623425.0,C-type,4.57,24.62,7.74,2.06,3.04,23.32,2824242760.0,5,0.167,0,0.237124126984127,7.040681903710473e-07
20.22,5977609201091632.0,C-type,5.91,16.23,9.39,2.92,5.04,11.6,1478726919910.0,5,0.34,0,0.19374269841269842,0.00025281527436677717
1.53,2597287491137.0,C-type,5.52,32.32,6.72,2.0,2.86,21.74,545857933.0,9,0.13,0,0.32304,2.2241232750206246e-07
3.58,33192236121392.0,C-type,4.51,37.86,9.81,3.18,5.69,8.46,10875145723.0,8,0.348,0,0.28036603174603175,1.2192620758524138e-06
2.64,13356753084893.0,C-type,9.75,22.41,4.16,0.8,0.84,8.94,8074539245.0,6,0.133,1,0.3134680952380952,2.527305317038497e-05
25.44,1.189857946712792e+16,C-type,4.41,29.41,7.96,2.89,4.84,19.72,4046252526320.0,1,0.59,0,0.2032668253968254,0.0007237001743604151
5.67,508792827695718.0,M-type,67.49,0.13,6.06,1.53,2.06,9.34,3119840649041.0,7,0.235,1,0.4615563492063492,0.02240943141244775
15.46,1.0291607765566648e+16,M-type,64.88,0.46,7.33,1.91,2.5,71.14,52504224814251.0,9,0.129,0,0.4561857142857143,0.1971061995060864
0.75,607685201725.0,S-type,13.9,0.85,7.97,2.33,3.64,19.17,704665791.0,4,0.138,0,0.18873730158730162,4.630597276163986e-07
6.17,170108228534427.0,C-type,6.77,38.71,5.75,1.12,1.05,12.43,35413579716.0,4,0.557,1,0.30551158730158734,3.420420650890695e-05
13.03,1599945395822912.0,C-type,4.77,24.73,5.44,1.6,1.99,23.47,421158469632.0,5,0.183,1,0.2711112698412699,0.00026105744394624113
4.95,87468285582953.0,C-type,1.87,26.62,10.66,3.04,5.31,8.29,16748066504.0,8,0.2,1,0.2239431746031746,6.821978724411362e-07
16.1,3013276385811716.0,C-type,14.06,34.3,9.47,3.41,6.24,25.49,1598229507764.0,5,0.169,0,0.2794098412698413,0.00056801861476875
2.41,10102829119137.0,C-type,4.64,22.51,5.55,1.34,1.53,24.93,2926245243.0,4,0.314,1,0.25124873015873017,1.8837638940201606e-06
24.32,1.03910974119865e+16,C-type,6.46,31.18,6.2,2.26,3.26,33.21,4528853263732.0,8,0.215,1,0.3196974603174603,0.002331918245954998
70.72,2.555279716765643e+17,C-type,3.38,16.34,5.73,1.46,1.67,8.56,63973984198950.0,5,0.35,0,0.2362384126984127,0.02641959616760109
2.9,34594691101912.0,S-type,21.03,1.47,5.37,0.92,0.93,4.58,48351446235.0,8,0.365,1,0.3007046031746032,0.0001836365244292084
2.63,13082099413225.0,C-type,9.12,21.55,10.36,3.3,5.99,7.48,7921463229.0,1,0.036,0,0.1642411111111111,1.5653517481525017e-06
25.64,1.2176194249085058e+16,C-type,11.63,20.78,6.8,1.12,1.12,9.72,8119608767669.0,3,0.39,0,0.2450504761904762,0.009586889079223183
29.83,1.917789591566488e+16,C-type,8.22,23.0,12.52,4.5,9.68,46.24,5702039771244.0,7,0.459,0,0.20080063492063494,0.0005435164388422762
2.39,9902208549203.0,C-type,5.29,31.22,5.27,1.0,0.88,70.53,3628090564.0,1,0.19,0,0.2506453968253968,3.455268611809804e-06
2.71,14330374482261.0,C-type,8.12,30.21,8.27,2.86,4.8,16.05,7115471244.0,5,0.251,0,0.26052269841269843,2.1885722993852946e-06
3.2,23585434136779.0,C-type,4.07,28.55,7.92,2.79,4.61,12.27,3867867498.0,6,0.231,0,0.2554538095238095,6.621803366194926e-07
0.89,1982625309309.0,M-type,78.08,0.15,6.9,1.47,1.84,9.21,14108477995.0,1,0.317,1,0.42530968253968254,9.367085719387242e-05
1.49,4677538659715.0,S-type,14.18,6.59,8.0,2.02,2.88,23.56,4989954785.0,7,0.133,0,0.23998206349206352,3.660876931602937e-06
1.34,6749962569889.0,M-type,43.74,0.42,4.89,1.48,1.8,70.17,13326063122.0,9,0.066,1,0.40636285714285714,9.828560222973505e-05
1.78,8051414716244.0,S-type,19.84,1.91,6.16,1.22,1.16,50.84,7510633592.0,9,0.386,1,0.29709,1.768886645970213e-05
4.3,57408267221183.0,C-type,6.99,11.76,8.02,2.18,3.31,30.28,19356165886.0,3,0.155,0,0.18200190476190475,6.614838085699492e-06
5.94,582667534583691.0,M-type,51.11,1.43,7.06,2.59,4.13,29.92,1650436461478.0,4,0.367,0,0.3523173015873016,0.00470304556265117
28.81,1.7272236934197062e+16,C-type,4.92,27.29,6.13,1.29,1.48,23.71,5581385120523.0,1,0.364,0,0.2250896825396825,0.0031860943054109613
1.35,1787788478487.0,C-type,6.06,21.43,8.55,3.3,5.92,11.73,471044819.0,4,0.344,0,0.2108315873015873,9.081009934378066e-08
14.6,2249840379654502.0,C-type,3.27,27.94,4.56,2.0,2.73,6.76,674510678021.0,5,0.472,1,0.28731269841269846,0.000353515837246516
3.47,30105084464579.0,C-type,0.79,17.9,6.38,1.77,2.51,11.98,3678499767.0,7,0.143,0,0.24349492063492065,2.577369243715956e-07
4.22,54433760622165.0,C-type,6.05,21.89,6.85,1.79,2.23,17.08,23114987219.0,5,0.338,0,0.2475684126984127,1.0682216271390828e-05
10.07,738339752268142.0,C-type,1.65,26.55,9.39,3.25,5.76,3.81,99017508409.0,8,0.346,0,0.24099603174603174,4.359883421003571e-06
1.17,2243685382354.0,S-type,19.74,1.4,8.97,1.55,2.08,10.78,3528771528.0,7,0.229,1,0.23279492063492063,3.395039920231452e-06
7.09,257682704888912.0,C-type,10.73,33.84,6.55,1.58,2.06,6.29,139115220739.0,1,0.145,0,0.26197968253968257,0.00013484746393690306
5.47,118425238809896.0,C-type,14.19,16.76,9.58,3.22,5.74,27.41,72361622552.0,2,0.266,0,0.1924050793650794,2.651193740719957e-05
8.09,382940056397392.0,C-type,5.65,34.3,10.11,3.34,6.23,7.85,181857800758.0,7,0.108,0,0.2588492063492064,2.3162386928434144e-05
6.34,184207167368329.0,C-type,3.27,25.89,8.09,2.76,4.64,15.84,43270797559.0,3,0.035,0,0.20851190476190476,5.749850012279731e-06
85.32,8.811644542385052e+17,S-type,7.74,3.1,6.01,1.04,1.08,6.96,421369043450122.0,2,0.279,0,0.1766250793650794,0.3664562716301838
2.08,6548198492381.0,C-type,4.69,27.5,11.78,4.21,8.65,43.74,1642456778.0,9,0.399,0,0.23297428571428572,1.0654632266822577e-07
2.37,37071729904710.0,M-type,71.35,0.41,7.15,1.92,2.7,3.12,129819960513.0,8,0.365,1,0.47337603174603177,0.0006203057550297732
2.12,13553070900671.0,S-type,21.58,1.48,5.87,1.75,2.36,17.83,31790684423.0,8,0.21,1,0.2957917460317461,7.239802198963056e-05
2.3,8805145678745.0,C-type,4.66,29.24,6.97,2.77,4.83,4.39,2496785219.0,3,0.375,0,0.24012190476190476,6.352725017486919e-07
2.09,6556521856114.0,C-type,4.42,20.96,6.73,2.11,3.05,8.11,1862317802.0,9,0.415,1,0.28441714285714287,5.843666460637938e-07
18.67,9231516022799288.0,S-type,9.82,3.92,6.26,1.49,1.8,14.37,7921529868873.0,8,0.314,1,0.2505003174603175,0.007940487063791253
24.65,1.0816945470814522e+16,C-type,5.39,32.44,9.7,3.57,6.62,14.94,2401875441533.0,2,0.254,0,0.20253079365079366,0.00030103307030197803
2.26,8334197728930.0,C-type,10.88,25.79,6.78,1.74,2.3,14.63,6876586401.0,7,0.072,0,0.3018106349206349,5.940056269195009e-06
1.65,6381728518568.0,S-type,22.21,0.71,6.55,1.89,2.79,13.75,6968781707.0,8,0.409,1,0.28628746031746033,1.2483094718771928e-05
7.89,355011406086899.0,C-type,9.78,27.98,10.54,3.56,6.8,7.29,331214503575.0,7,0.261,0,0.2502663492063492,6.394229963551135e-05
2.31,8908901597435.0,C-type,5.08,35.8,7.39,2.69,4.35,10.68,2463845340.0,9,0.311,0,0.32214857142857145,6.211003548485757e-07
9.58,634989497706029.0,C-type,9.86,34.55,7.94,2.37,3.66,12.49,470710895956.0,7,0.154,0,0.30743920634920635,0.00021843027283562736
5.72,265188773861736.0,S-type,10.62,1.15,5.28,1.46,1.64,14.24,91666436397.0,7,0.143,0,0.24827920634920633,0.00014193878742024984
0.73,277585884996.0,C-type,2.29,19.38,5.79,2.16,3.09,11.56,32090024.0,1,0.503,0,0.1956968253968254,6.936834172567047e-09
28.7,1.708699010885813e+16,C-type,9.38,14.75,7.29,2.23,3.34,21.84,8122178831256.0,2,0.504,0,0.1998493650793651,0.004428491518167922
38.67,4.178169228402926e+16,C-type,1.71,17.34,8.94,2.2,3.22,13.13,3083026643231.0,5,0.415,0,0.18670126984126983,0.00020611216013845384
2.15,7163614199245.0,C-type,2.02,27.63,5.07,1.77,2.24,14.31,1293259563.0,1,0.44,1,0.22965253968253968,3.668945837147207e-07
2.81,16108197437477.0,C-type,4.05,29.86,5.71,1.29,1.52,8.97,4466332368.0,7,0.297,1,0.3019863492063492,2.422689944976694e-06
6.32,182029602035948.0,C-type,12.44,22.14,9.54,2.87,4.85,5.25,90891197903.0,5,0.204,0,0.23544984126984128,3.210166234402913e-05
6.69,216826687593103.0,C-type,7.46,29.22,8.17,1.44,1.56,13.78,91229226266.0,5,0.37,0,0.25634126984126987,4.178590435703739e-05
9.88,1367416446714970.0,S-type,18.49,5.28,6.21,1.85,2.31,32.01,1958823659135.0,8,0.284,1,0.2899746031746032,0.003289952227884562
50.01,9.038108207054754e+16,C-type,1.2,27.28,3.77,0.7,0.53,17.38,5281592405485.0,9,0.379,1,0.33278285714285716,0.0026196636253155137
3.62,34399564238439.0,C-type,8.18,31.23,7.13,2.65,4.16,6.33,10778431519.0,1,0.257,0,0.23566396825396826,4.751556683086879e-06
1.72,3673643083311.0,C-type,6.04,22.61,6.55,1.2,1.13,23.38,1169849324.0,4,0.212,0,0.2428630158730159,7.486199969409588e-07
0.86,890804609242.0,S-type,7.03,0.83,6.59,2.23,3.44,9.32,494953145.0,2,0.259,0,0.1586893650793651,2.480538704292679e-07
1.86,4681908247421.0,C-type,7.29,22.32,4.75,1.06,1.08,21.58,1907180496.0,9,0.146,1,0.3282628571428572,2.991329375490303e-06
4.31,113370583079029.0,S-type,15.54,2.1,4.49,1.67,2.13,9.07,144663772730.0,9,0.298,1,0.30431714285714284,0.00041755739884751403
38.61,4.158364518907858e+16,C-type,5.26,25.05,7.08,1.6,2.01,16.16,15013157443578.0,1,0.421,0,0.20615825396825396,0.006040953366341845
2.41,10091093864677.0,C-type,9.95,35.88,6.58,1.21,1.22,8.05,6809576231.0,3,0.208,0,0.2867733333333333,7.081048487526352e-06
5.86,145574872471597.0,C-type,2.96,28.33,7.88,2.02,2.91,8.21,19015649898.0,8,0.027,0,0.27314746031746034,3.0015311458243615e-06
4.39,61309296665153.0,C-type,1.19,20.06,3.35,0.98,0.95,3.48,6999900152.0,2,0.319,1,0.23930507936507936,3.7487215967593123e-06
18.65,4690383839505837.0,C-type,8.93,27.04,8.63,2.51,3.91,18.35,2123170407200.0,2,0.187,0,0.2157765079365079,0.0007250202850338839
92.97,5.807122514912468e+17,C-type,2.33,23.58,6.48,2.58,4.08,16.38,149724997400544.0,2,0.37,0,0.20971079365079365,0.022941718256238964
2.37,9620789532326.0,C-type,6.44,27.23,5.58,1.26,1.29,17.14,3770647771.0,5,0.265,1,0.28329126984126984,3.450835414526474e-06
2.49,11168216401136.0,C-type,11.73,30.37,9.67,3.23,5.77,15.18,5813575069.0,9,0.614,0,0.2998871428571429,1.724041068456963e-06
15.69,2790659071434894.0,C-type,1.37,24.34,6.68,1.69,2.17,6.62,426793082754.0,7,0.017,0,0.2608492063492064,4.8710451692153705e-05
10.16,1487315973046929.0,S-type,16.6,1.43,5.86,1.16,1.21,26.38,1813986860130.0,7,0.311,1,0.2647534920634921,0.004051475136581089
41.1,5.017139328850391e+16,C-type,1.17,26.65,4.73,0.87,0.82,26.96,4262025834390.0,2,0.528,1,0.23928079365079363,0.0011911854042455606
9.03,532293688441989.0,C-type,5.27,23.55,2.22,0.59,0.45,6.48,150407526372.0,2,0.195,1,0.2822379365079365,0.0010110148932727713
2.91,35039203150802.0,S-type,18.75,1.62,9.83,3.15,5.6,18.65,36081860774.0,5,0.151,0,0.19498698412698415,1.687063395928845e-05
9.1,545341010474530.0,C-type,1.71,27.27,5.75,1.33,1.63,24.53,106970742426.0,7,0.197,1,0.2842849206349206,2.374457244668552e-05
16.95,3520600342473609.0,C-type,3.32,35.06,5.2,1.55,1.99,8.36,808327028330.0,7,0.034,1,0.3219520634920635,0.00038912919501493497
12.0,1247366450391937.0,C-type,1.08,27.94,4.41,1.49,1.91,9.61,161554158065.0,9,0.028,1,0.32514,3.6029442825713696e-05
8.24,403929528272576.0,C-type,7.31,26.3,10.15,2.81,4.61,18.68,144672682233.0,3,0.26,0,0.19647333333333333,2.6942692817373696e-05
16.12,1.1666451426730318e+16,M-type,66.87,0.69,8.81,2.29,3.41,3.64,53447308596346.0,1,0.287,1,0.3548039682539683,0.13099473326726016
18.23,8598845053491045.0,S-type,9.84,2.2,7.54,1.92,2.72,5.1,8798458535821.0,9,0.148,0,0.2382457142857143,0.005201709810134194
23.54,9422222590459448.0,C-type,2.19,26.38,4.34,1.01,1.08,5.52,1347380124257.0,1,0.529,1,0.2370111111111111,0.0007790934372131909
9.76,1319851681590264.0,S-type,7.16,1.68,7.76,3.64,6.87,2.89,762487208015.0,8,0.182,0,0.21171174603174603,0.00019537173630840632
3.67,69985911840482.0,S-type,9.43,1.15,8.39,2.31,3.58,29.02,31223771255.0,5,0.52,0,0.1768684126984127,1.2636953571096843e-05
5.34,110302124474673.0,C-type,3.55,32.05,8.05,2.34,3.49,2.48,19938658909.0,8,0.194,0,0.2842388888888889,3.270283169844736e-06
19.06,9831544589330014.0,S-type,24.67,3.55,4.74,1.06,1.13,16.03,12746104053020.0,7,0.16,1,0.3193934920634921,0.06573114357253529
1.68,3435235561697.0,C-type,8.47,14.12,6.4,1.14,1.21,23.32,1183444228.0,9,0.13,0,0.2848114285714286,1.1435554723768665e-06
6.98,481614000055801.0,S-type,23.81,1.69,7.63,1.89,2.46,9.63,995759163035.0,2,0.193,1,0.2135322222222222,0.0014081890663498542
2.8,30997275921823.0,S-type,5.26,0.71,7.0,1.91,2.6,7.14,11161346388.0,9,0.279,0,0.22317,4.117298628261099e-06
4.64,72134705326102.0,C-type,0.56,27.56,5.45,1.21,1.55,14.68,7119278935.0,5,0.215,1,0.26261841269841274,6.073494267490362e-07
20.78,6486514582742987.0,C-type,7.22,32.76,5.18,1.06,1.12,12.2,2819598572378.0,5,0.113,1,0.3087155555555556,0.0036762007414926894
5.64,129413222585754.0,C-type,3.28,23.83,6.52,1.42,1.92,27.19,27956423213.0,1,0.061,0,0.20257825396825394,8.913390982101434e-06
4.74,76878441234636.0,C-type,17.5,15.86,5.32,1.59,1.85,1.49,111079839289.0,6,0.168,1,0.30824666666666667,0.00026515064307023223
0.88,955459353213.0,S-type,15.54,4.84,5.45,1.01,1.1,5.84,473817316.0,3,0.246,1,0.2321561904761905,1.233311022554383e-06
10.97,1875127412090899.2,S-type,9.27,0.5,6.78,2.35,3.35,19.09,1173087745148.0,3,0.136,0,0.17505619047619048,0.0007059155368892883
9.72,664341927439859.0,C-type,1.52,21.59,9.16,2.41,3.75,12.68,60543690722.0,3,0.353,0,0.17332619047619047,3.2163733503201127e-06
60.09,1.568069828972164e+17,C-type,9.61,25.39,8.02,2.24,3.42,22.23,46205302813998.0,4,0.096,0,0.2444830158730159,0.02108313903591617
3.1,21478496459476.0,C-type,4.29,31.57,4.38,1.04,1.14,15.02,3966328398.0,9,0.362,1,0.34929857142857146,4.34777067580509e-06
5.83,143164611183821.0,C-type,4.35,25.81,5.9,1.41,1.59,10.94,38495151811.0,8,0.227,1,0.2994331746031746,1.996043002349203e-05
6.05,159626255103821.0,C-type,5.88,27.28,7.25,2.55,4.18,9.57,44183243181.0,6,0.057,0,0.2684552380952381,1.3922830237668335e-05
29.75,1.9032165026353344e+16,C-type,4.73,30.39,8.46,1.98,2.73,78.26,7139718955473.0,8,0.138,0,0.27812174603174605,0.0015821281845403493
4.0,177928147556059.0,M-type,53.26,0.59,11.14,3.26,5.86,41.59,577856575561.0,8,0.537,1,0.3445560317460318,0.0005819891087950937
6.26,177599569854317.0,C-type,1.8,30.52,9.77,3.04,5.25,18.11,22591777384.0,1,0.175,0,0.17029968253968253,1.0545135958921024e-06
9.29,580262942977716.0,C-type,3.96,35.84,8.15,1.8,2.3,12.97,130762805664.0,9,0.142,0,0.30693142857142863,2.7841980282385237e-05
5.61,127338228020768.0,C-type,3.8,32.75,5.95,1.4,1.81,18.74,29679051531.0,1,0.311,0,0.23956111111111109,1.3273503204103198e-05
2.62,13038322471619.0,C-type,8.28,30.8,8.76,2.5,3.96,23.61,5337406594.0,2,0.208,0,0.2225993650793651,1.6454474260002594e-06
5.66,504298167037296.0,M-type,51.01,0.13,9.45,2.61,4.34,17.03,1308774539276.0,9,0.355,1,0.36943000000000004,0.0020687120765725394
16.25,1.1962332331292384e+16,M-type,76.95,0.22,8.52,2.76,4.7,6.68,74801873885572.0,7,0.363,1,0.46452349206349214,0.19135485668235522
1.31,1615426224430.0,C-type,9.14,29.9,7.0,1.96,2.65,50.79,678993103.0,1,0.389,0,0.2373711111111111,4.278816625554294e-07
5.26,104977363659347.0,C-type,1.63,31.73,6.59,1.33,1.65,14.83,12298038805.0,3,0.625,0,0.24090047619047622,1.9810538599228182e-06
1.93,5231086404389.0,C-type,5.25,25.07,8.1,2.23,3.37,61.02,1860565950.0,1,0.322,0,0.1916068253968254,4.60926536360207e-07
18.8,4804084535386729.0,C-type,5.24,30.4,6.79,2.27,3.32,14.15,1648806310515.0,5,0.317,0,0.2707155555555556,0.0005729137086518486
0.72,270246995116.0,C-type,10.53,31.64,5.74,2.46,3.91,10.01,119151182.0,4,0.158,1,0.29948444444444444,1.1005931834662229e-07
2.29,8696627141556.0,C-type,8.02,30.01,5.74,1.46,1.66,36.87,4921898277.0,8,0.253,1,0.3289988888888889,4.870202872930808e-06
7.05,252905693436595.0,C-type,1.92,16.14,2.52,0.81,0.88,15.5,43374925673.0,9,0.118,0,0.32010000000000005,7.245103320827565e-05
29.33,1.82321248916071e+16,C-type,8.22,28.36,6.44,2.22,3.38,13.55,8866842582652.0,4,0.266,0,0.27040444444444445,0.005442905091037662
4.14,51333983329467.0,C-type,6.48,28.32,4.04,0.95,0.93,4.66,16865070911.0,3,0.307,1,0.28649904761904765,3.433668621613212e-05
2.3,17308552706137.0,S-type,5.48,0.87,7.57,2.57,4.25,20.66,7264914009.0,4,0.386,0,0.1608315873015873,1.9460349642826077e-06
42.84,5.679589697682567e+16,C-type,3.6,29.95,7.68,1.93,2.53,8.21,12301214081718.0,3,0.453,0,0.22786904761904764,0.0025592020495913185
0.79,354234510652.0,C-type,4.52,34.83,6.79,1.38,1.54,8.51,67529924.0,6,0.33,0,0.29223666666666664,2.7817505597312787e-08
0.32,23738726662.0,C-type,12.65,22.09,9.9,3.2,5.69,8.23,16008785.0,1,0.026,0,0.18655253968253968,4.919593475686731e-09
7.6,1222307494413245.0,M-type,72.56,0.22,6.72,1.54,2.14,17.31,7073560533200.0,2,0.272,1,0.4171222222222222,0.043774668176834036
2.45,10672375863230.0,C-type,1.99,30.82,7.54,1.94,2.6,3.57,2077950194.0,8,0.108,0,0.28159460317460316,2.47399110800333e-07
1.32,1646440646862.0,C-type,5.51,34.01,3.38,1.44,1.56,10.29,478233952.0,3,0.141,0,0.30911761904761903,9.452976366294486e-07
10.49,1635988130254361.0,S-type,21.21,3.56,6.72,1.85,2.38,26.69,2838059847560.0,4,0.223,1,0.24396444444444448,0.004666219466294647
6.0,156450002386157.0,C-type,7.95,27.35,5.78,2.29,3.56,4.5,124021989687.0,1,0.413,1,0.24238968253968254,8.970048060872435e-05
2.28,8536668660789.0,C-type,2.12,28.3,6.49,1.49,1.76,13.99,1209549480.0,3,0.163,0,0.23399904761904763,2.444954076697398e-07
0.96,647885095946.0,C-type,12.58,34.37,4.27,1.68,2.16,7.35,541429655.0,1,0.484,1,0.3035411111111111,1.3939006912556142e-06
12.77,1504025257018217.0,C-type,1.16,34.32,7.92,2.55,4.15,8.82,82395037919.0,5,0.274,0,0.2500126984126984,4.292194551234071e-06
9.78,675719572530954.0,C-type,2.58,24.56,5.19,0.82,0.73,45.79,82974326847.0,1,0.34,1,0.22096825396825395,4.366644717670195e-05
3.98,45514038015478.0,C-type,11.9,25.97,7.13,2.62,4.27,3.25,30164554631.0,9,0.471,0,0.3236528571428572,1.9505272099879392e-05
41.1,5.015869215801373e+16,C-type,5.69,30.91,9.68,2.86,4.89,22.48,12400898060999.0,7,0.336,0,0.2549820634920635,0.001948965284534227
1.24,2711803448579.0,S-type,7.45,3.78,5.83,1.16,1.21,8.31,2862754573.0,8,0.396,0,0.24674317460317463,2.9050184725943383e-06
0.72,267981669141.0,C-type,5.08,25.67,5.15,0.89,0.82,7.99,97500867.0,9,0.246,0,0.32375857142857145,9.880886397039701e-08
1.95,5388057143652.0,C-type,2.69,26.28,5.79,1.05,1.1,5.01,1327004245.0,8,0.482,1,0.2957746031746032,5.194138082373443e-07
4.24,55198967969892.0,C-type,1.41,30.84,5.1,1.23,1.45,22.27,6604246934.0,3,0.595,1,0.25863619047619046,1.6054502497271881e-06
6.0,156190424600362.0,C-type,6.58,27.36,5.34,1.09,1.06,10.45,43840298465.0,7,0.318,1,0.3098920634920635,4.840164090582822e-05
3.36,27292286255130.0,C-type,6.77,25.08,7.75,2.37,3.35,9.45,9069468597.0,7,0.062,0,0.26938349206349205,3.033447936560977e-06
6.84,231008231305002.0,C-type,6.82,25.22,6.44,1.72,2.33,13.3,97495010395.0,7,0.139,0,0.2887177777777778,5.894043367600027e-05
1.0,718572976123.0,C-type,3.14,22.26,6.5,2.08,3.1,10.63,122915066.0,8,0.134,0,0.2753717460317461,2.9659056444823997e-08
25.34,1.1761732010991156e+16,C-type,2.21,25.47,7.26,2.75,4.58,2.46,2311348289620.0,4,0.206,0,0.22598015873015875,0.0002584026985452427
4.06,48390798091818.0,C-type,4.92,23.86,7.64,2.49,3.95,8.23,17723164371.0,6,0.204,0,0.24878380952380952,4.280488104325024e-06
17.13,3631201664417046.5,C-type,14.08,27.4,9.68,3.53,6.59,24.94,2741547649161.0,2,0.289,0,0.22245650793650792,0.0009089754216268197
6.76,223377946172749.0,C-type,5.33,20.49,8.25,3.0,5.24,3.65,40866193613.0,7,0.173,0,0.2427106349206349,8.00058551432274e-06
7.75,336758314276140.0,C-type,4.3,34.14,5.1,0.63,0.58,5.09,149243290434.0,9,0.247,1,0.34676285714285715,0.00015135697778168042
8.88,1950041491084834.0,M-type,66.13,0.19,5.12,1.65,2.12,8.66,7513270324089.0,5,0.248,1,0.4475026984126985,0.06908038911014781
7.67,325969797657601.0,C-type,5.39,28.07,7.28,2.23,3.57,6.82,234625444742.0,4,0.234,0,0.24621444444444446,7.387245833956941e-05
9.69,657770345438541.0,C-type,11.87,31.86,11.36,3.6,6.66,11.91,514810071079.0,2,0.673,0,0.20299650793650795,0.00010293448753003002
22.09,7785381007216262.0,C-type,7.89,29.06,7.0,1.54,1.93,5.08,3247551952851.0,7,0.178,0,0.29651777777777777,0.0020566322678097714
